Epoch, Train Loss, Train Acc, Val Loss, Val Acc
445, 0.1310, 0.9613, 2.2478, 0.6025
446, 0.1298, 0.9581, 2.3355, 0.6092
447, 0.1207, 0.9625, 2.2334, 0.6205
448, 0.1185, 0.9656, 2.3308, 0.6107
449, 0.1282, 0.9605, 2.1309, 0.6235
450, 0.1133, 0.9686, 2.1493, 0.6321
451, 0.1142, 0.9663, 2.2533, 0.6220
452, 0.1099, 0.9684, 2.2653, 0.6126
453, 0.1024, 0.9680, 2.3393, 0.6130
454, 0.0971, 0.9712, 2.3010, 0.6077
455, 0.1084, 0.9678, 2.2320, 0.6107
456, 0.1052, 0.9701, 2.3234, 0.6134
457, 0.0974, 0.9702, 2.2205, 0.6261
458, 0.0929, 0.9718, 2.2503, 0.6141
459, 0.0925, 0.9718, 2.3320, 0.6156
460, 0.0944, 0.9729, 2.2047, 0.6340
461, 0.1130, 0.9667, 2.3127, 0.6186
462, 0.1234, 0.9635, 2.4015, 0.6100
463, 0.1219, 0.9621, 2.3044, 0.6141
464, 0.1083, 0.9680, 2.1835, 0.6261
465, 0.1118, 0.9678, 2.3500, 0.6122
466, 0.1149, 0.9660, 2.3074, 0.6156
467, 0.1066, 0.9689, 2.2283, 0.6205
468, 0.1132, 0.9663, 2.2575, 0.6160
469, 0.1354, 0.9592, 2.2938, 0.6164
470, 0.1113, 0.9683, 2.1161, 0.6344
471, 0.1049, 0.9696, 2.2281, 0.6250
472, 0.1067, 0.9678, 2.4813, 0.6156
473, 0.1018, 0.9702, 2.2339, 0.6130
474, 0.1155, 0.9647, 2.3303, 0.6227
475, 0.1134, 0.9666, 2.3728, 0.6149
476, 0.0984, 0.9689, 2.1403, 0.6351
477, 0.0893, 0.9722, 2.1859, 0.6366
478, 0.1070, 0.9664, 2.1936, 0.6363
479, 0.1091, 0.9674, 2.1771, 0.6265
480, 0.1140, 0.9651, 2.1498, 0.6336
481, 0.0995, 0.9723, 2.1788, 0.6235
482, 0.1138, 0.9632, 2.2793, 0.6235
483, 0.1091, 0.9672, 2.1764, 0.6269
484, 0.1025, 0.9687, 2.2289, 0.6288
485, 0.0986, 0.9701, 2.2443, 0.6220
486, 0.0999, 0.9703, 2.1770, 0.6175
487, 0.0917, 0.9740, 2.2020, 0.6381
488, 0.0988, 0.9719, 2.1992, 0.6291
489, 0.0838, 0.9756, 2.1958, 0.6220
490, 0.0922, 0.9737, 2.2641, 0.6329
491, 0.0950, 0.9723, 2.4264, 0.6126
492, 0.0996, 0.9713, 2.1253, 0.6325
493, 0.1026, 0.9690, 2.3194, 0.6167
494, 0.1019, 0.9714, 2.2124, 0.6250
495, 0.1079, 0.9668, 2.2706, 0.6261
496, 0.1263, 0.9629, 2.3535, 0.6212
